songs
Heelein Toot Gayi
She Move It Like
Kya Baat Ay
Paagal
"Teri Bhabhi (From ""Coolie No. 1"")"
Proper Patola
"Don't Be Shy Again (From ""Bala"")"
"Shayad (From ""Love Aaj Kal"")"
Do You Love Me
"LOL (From ""Ginny Weds Sunny"")"
Bajre Da Sitta
"Tehas Nehas (From ""Khaali Peeli"")"
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")"
Kar Gayi Chull
Naagin
"Odhani (From ""Made in China"")"
"Sayonee (From ""Sayonee"")"
"Ghungroo (From ""War"")"
Dus Bahane 2.0
Dil Bechara
Baby Girl
Tu Mera Nahi
"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)"
"Tum Se Hi (From ""Sadak 2"")"
Ik Wari
Dil Tod Ke
Meri Aashiqui
"Malang (Title Track) [From ""Malang - Unleash The Madness""]"
Taaron Ke Shehar
"Ishq Kamaal (From ""Sadak 2"")"
Phoonk Phoonk
Crazy Lady
Phir Chala
Main Tumhara
Dil Chahte Ho
Khidki
Feelings
Kandhe Ka Woh Til
Clash
Taare Ginn
"Cutiepie (From ""Ae Dil Hai Mushkil"")"
Kuch Bhi Ho Jaye
Nakhre (Eyes on You 2)
Naiyyo
Khulke Jeene Ka
Jaan Ban Gaye
Shayad - English Rendition
Pachtaoge (Asees Kaur)
Bom Diggy
"Mehrama (From ""Love Aaj Kal"")"
Diamond Da Challa
