Open,High,Low,Close,Adj Close,Volume
108.139999,110.230003,108.080002,109.360001,106.644638,132371400
108.860001,109.32,106.309998,106.940002,104.284737,123605500
106.620003,108,105.5,107.730003,105.055122,133000600
107.900002,108.760002,103.129997,103.129997,100.569328,168803700
102.650002,116.129997,102.529999,114.919998,112.066589,388228200
115.190002,116.18,111.550003,112.709999,109.911469,201095700
111.639999,114.639999,111.550003,113.050003,110.243034,156384000
112.709999,114.559998,112.279999,114.059998,111.227943,126029400
115.019997,118.690002,114.720001,117.629997,114.709305,208708400
117.330002,118.209999,113.800003,116.599998,113.704872,115531500
117.099998,118.360001,113.309998,113.720001,110.896393,210225600
113.650002,114.230003,108.110001,108.839996,106.13755,156346500
110.080002,111.720001,105.830002,108.43,106.280617,207019500
107.709999,110.540001,104.080002,110.059998,107.878304,198341400
110.120003,112.419998,110.010002,111.790001,109.57402,94132400
111.43,112.470001,108.849998,109.900002,107.721481,155500000
110,114.699997,108.25,113.949997,111.6912,151989600
113.290001,116.730003,112.489998,115.970001,113.671158,195015600
115.800003,117.5,115.589996,116.519997,114.210243,113254700
116.519997,118.019997,115.43,115.82,113.524132,84828600
115.800003,118.160004,114.760002,117.910004,115.572708,103845500
117.949997,119.93,117.940002,119.040001,116.680298,138810700
118.339996,120.5,118.220001,120,117.621269,116348000
120,122.440002,119.5,121.949997,119.532608,124539300
120.93,130.490005,120.620003,129.080002,126.521278,249781200
129.130005,132.940002,128.899994,132.119995,129.501022,136449200
133.080002,136.270004,132.75,135.720001,133.60643,136667500
136.229996,137.479996,135.279999,136.660004,134.531784,87908900
137.139999,140.279999,136.279999,139.779999,137.60318,127474000
139.369995,139.979996,137.050003,139.139999,136.973145,99672200
138.850006,141.020004,138.820007,139.990005,137.809906,121539600
140.399994,142.800003,139.729996,140.639999,138.449783,129674000
139.389999,144.5,138.619995,143.660004,141.422775,127008900
143.710007,145.460007,143.050003,143.339996,141.107742,105416200
143.600006,143.880005,140.059998,141.050003,138.853424,87485700
141.479996,142.919998,140.449997,142.270004,140.054428,89248500
143.5,144.899994,143.179993,143.649994,141.412903,91153700
145.100006,148.979996,144.270004,148.960007,146.640244,175351700
149.029999,156.419998,149.029999,156.100006,153.669052,173470600
156.009995,156.649994,149.710007,153.059998,151.298309,157354900
154,154.899994,152.669998,153.610001,151.84198,103000000
153.419998,155.449997,152.220001,155.449997,153.660797,88752900
154.339996,155.979996,146.020004,148.979996,147.265274,159159700
145.740005,147.5,142.199997,142.270004,140.632507,220530400
143.660004,147.160004,143.660004,146.279999,144.596344,133253000
147.169998,148.279999,142.279999,144.020004,142.362366,127060200
144.880005,145.300003,142.410004,144.179993,142.520508,79158400
144.110001,149.330002,143.369995,149.039993,147.32457,111088400
148.820007,151.740005,148.570007,150.270004,148.540421,106081600
150.580002,153.990005,147.300003,149.5,147.779282,105818100
149.899994,159.75,148.130005,156.389999,154.589981,172808500
157.059998,161.830002,154.630005,157.479996,155.667435,151269100
159.320007,162.509995,156.720001,157.5,156.298584,134628500
157.5,160.740005,155.110001,159.860001,158.640594,112671200
160.139999,164.940002,159.929993,164.050003,162.798615,126128700
163.75,164.25,158.529999,158.630005,157.419983,101660200
160.5,163.960007,157.910004,159.880005,158.660431,220582600
160.110001,160.5,150.559998,151.889999,150.731384,186188500
149.990005,154.720001,149.160004,154.119995,152.944366,154856800
154.259995,155.490005,152.460007,155.300003,154.115372,93784300
155.809998,158,155.100006,156.990005,155.792496,81304800
157.899994,160.869995,155.020004,156.25,155.058121,126051300
156.889999,163.600006,155.270004,163.050003,161.806259,122403300
163.889999,174.259995,163.720001,172.5,171.184174,215177400
172.369995,176.240005,171.720001,174.669998,173.337601,138425400
173.5,174.5,168.380005,170.149994,169.459091,116459700
170.289993,175.5,169.559998,174.970001,174.259521,81009300
175.050003,175.080002,167.160004,171.050003,170.355438,170098500
172.479996,172.619995,166.460007,169.369995,168.682251,137481100
169.199997,174.169998,168.789993,173.970001,173.26358,139147200
174.880005,177.199997,173.25,175.009995,174.299362,117632400
170.800003,171.850006,169.220001,169.229996,168.542831,97163800
170.160004,175.369995,169.259995,175,174.289398,101168400
174.350006,177.360001,173,177.089996,176.370911,110197500
177.899994,180.100006,175.070007,178.460007,177.735352,127571200
177.300003,179.440002,170.059998,171.509995,170.813568,191574800
170.160004,170.160004,160.100006,160.5,159.848282,262992100
159.100006,163.880005,150.240005,156.410004,155.774887,317654000
158.5,174.820007,157.509995,172.429993,172.429993,225336900
172.050003,175.649994,171.009995,175.5,175.5,136206400
176.350006,180.619995,172.449997,176.210007,176.210007,202128400
175.210007,180,174.270004,179.979996,179.979996,139852700
180.289993,183.5,177.619995,178.020004,178.020004,155417500
177.320007,177.470001,164.940002,164.940002,164.940002,172670700
168.070007,175.149994,165.190002,167.779999,167.779999,157898400
